title,score,date,airline,source
"""only 1 meal and 1 snack service""",3,2023-01-01,LUFTHANSA,SKYTRAX
"""the worst seat pitch ever""",3.5,2022-02-01,LUFTHANSA,SKYTRAX
"""we weren't expecting a great deal""",4,2022-02-01,LUFTHANSA,SKYTRAX
"""I would never travel Lufthansa again""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""rude and unpleasant staff""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""crew were exceptionally nice""",3.5,2022-12-01,LUFTHANSA,SKYTRAX
"""still no response to my email""",0.5,2022-06-01,LUFTHANSA,SKYTRAX
"""no customer care service available""",2.5,2022-12-01,LUFTHANSA,SKYTRAX
"""uneventful low cost experience""",1.5,2023-01-01,LUFTHANSA,SKYTRAX
"""horrible airport experience""",1.5,2022-12-01,LUFTHANSA,SKYTRAX
"""they lost our baggage""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""The rest was miserable as expected""",2.5,2022-12-01,LUFTHANSA,SKYTRAX
"""frankly exhausting experience""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""Lufthansa refused to pay anything""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""Worst traveling experience""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""were not given Veg food""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""I did not get food in the flight""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""most horrendous customer service""",0.5,2022-06-01,LUFTHANSA,SKYTRAX
"""treated with such disregard""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""lack of sincerity from Lufthansa""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""The worst customer service""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""The cabin crew were excellent""",4,2022-12-01,LUFTHANSA,SKYTRAX
"""help desk cannot do anything""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""never want to fly this airline again""",0.5,2022-09-01,LUFTHANSA,SKYTRAX
"""They do a fantastic job!""",5,2022-12-01,LUFTHANSA,SKYTRAX
"""lack of customer service has been appalling""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
